item_id,item_type,item_name,country,user_type,interest,vibe,budget_usd,travel_month,popularity_score,season_match,difficulty_match,interest_match,budget_match,is_offbeat,recommendation_score
9250,event,Sapporo Snow Festival,Japan,family,food,relaxed,1532.22,7,0.38,0.38,0.83,0.23,0.83,0,0.43
9777,event,Yi Peng Lantern Festival,Thailand,family,nature,budget,119.41,5,0.34,0.25,0.86,0.5,0.6,0,0.46
9079,event,Yi Peng Lantern Festival,Thailand,solo,adventure,offbeat,3244.62,5,0.48,0.25,0.85,0.26,0.62,1,0.33
9034,trek,Roopkund Trek,India,couple,nature,luxury,2575.27,8,0.4,0.75,0.61,0.63,0.72,0,0.68
9357,event,Sapporo Snow Festival,Japan,family,spiritual,budget,1205.95,6,0.85,0.5,0.73,0.29,0.87,0,0.49
9872,event,Festival of the Sun,Peru,solo,spiritual,luxury,3719.35,11,0.31,0.38,0.86,0.28,0.56,0,0.42
9118,event,Bali Arts Festival,Indonesia,family,adventure,offbeat,609.27,2,0.64,0.5,0.97,0.49,0.95,1,0.61
9148,event,Yi Peng Lantern Festival,Thailand,couple,food,offbeat,7221.94,7,0.71,0.5,0.77,0.21,0.12,1,0.34
9875,event,Sapporo Snow Festival,Japan,solo,offbeat,budget,7953.82,6,0.67,0.5,0.86,0.65,0.03,0,0.53
9574,destination,Chiang Mai,Thailand,solo,adventure,luxury,5249.39,11,0.69,0.98,0.9,0.16,0.41,0,0.56
9248,trek,Nakasendo Trail,Japan,couple,nature,offbeat,6005.14,6,0.74,0.8,0.94,0.17,0.29,1,0.49
9318,destination,Chiang Mai,Thailand,solo,food,budget,7583.55,9,0.74,0.75,0.96,0.95,0.11,0,0.83
9286,trek,Dientes Circuit,Chile,solo,culture,offbeat,6939.39,12,0.39,0.82,0.97,0.49,0.17,1,0.61
9700,trek,Choquequirao Trek,Peru,couple,food,spiritual,975.62,12,0.65,0.62,0.61,0.44,0.92,1,0.59
9038,event,Festival of the Sun,Peru,couple,offbeat,thrill,3937.48,1,0.36,0.38,0.98,0.11,0.53,0,0.31
9048,trek,Mount Kenya Circuit,Kenya,family,food,spiritual,5343.71,4,0.62,0.88,0.22,0.31,0.37,0,0.51
9944,event,Festival of the Sun,Peru,family,food,thrill,1937.33,8,0.81,0.75,0.73,0.14,0.78,0,0.51
9346,trek,Drakensberg Traverse,South Africa,solo,food,thrill,6576.16,2,0.45,0.62,0.97,0.23,0.22,0,0.44
