item_id,item_type,item_name,country,user_type,interest,vibe,budget_usd,travel_month,popularity_score,season_match,difficulty_match,interest_match,budget_match,is_offbeat,recommendation_score
9387,destination,Munnar,India,solo,offbeat,relaxed,7699.46,3,0.53,0.86,0.88,0.18,0.2,0,0.5
9291,event,Up Helly Aa,Norway,family,offbeat,spiritual,2349.19,1,0.36,0.99,0.96,0.85,0.76,1,0.95
9729,trek,Hampta Pass Trek,India,solo,nature,offbeat,2356.12,3,0.28,0.57,0.84,1.0,0.77,1,0.79
9498,destination,Ella,Sri Lanka,solo,offbeat,offbeat,2459.44,10,0.59,0.14,0.97,0.45,0.78,1,0.44
9927,event,Up Helly Aa,Norway,solo,spiritual,offbeat,2613.73,2,0.76,0.86,0.84,0.13,0.73,1,0.56
9183,trek,Manaslu Circuit,Nepal,family,adventure,thrill,4505.89,6,0.79,0.86,0.2,0.92,0.53,0,0.81
9421,event,Rainforest World Music Festival,Malaysia,solo,culture,offbeat,3545.22,12,0.43,0.29,0.84,0.98,0.63,1,0.66
9515,destination,Alesund,Norway,family,culture,offbeat,197.65,1,0.78,0.43,0.89,0.34,0.4,1,0.44
9343,trek,Cinque Terre Trail,Italy,couple,nature,budget,5615.03,3,0.74,0.86,0.93,0.41,0.41,0,0.62
9888,trek,West Coast Trail,Canada,solo,nature,budget,5655.48,9,0.9,0.82,0.84,0.87,0.4,0,0.82
9834,event,Up Helly Aa,Norway,family,offbeat,spiritual,390.73,10,0.46,0.1,0.89,0.92,0.98,1,0.63
9547,trek,West Coast Trail,Canada,family,offbeat,luxury,2612.57,3,0.48,0.71,0.58,0.65,0.74,0,0.68
9006,event,Harbin Ice Festival,China,couple,adventure,budget,1952.67,8,0.87,0.14,0.87,0.52,0.81,0,0.46
9971,event,Boryeong Mud Festival,South Korea,solo,food,budget,863.79,7,0.38,0.84,0.94,0.1,0.93,1,0.58
9329,event,Ultra Bali Festival,Indonesia,family,adventure,offbeat,7864.3,7,0.79,0.86,0.99,0.28,0.15,1,0.46
9126,destination,Petra,Jordan,family,offbeat,budget,4802.39,7,0.72,0.71,0.76,0.5,0.52,0,0.6
9846,destination,Petra,Jordan,couple,food,relaxed,3428.26,8,0.69,0.57,0.97,0.14,0.67,0,0.46
9018,destination,Giza,Egypt,family,adventure,thrill,7270.0,1,0.6,0.86,0.88,0.4,0.25,0,0.59
9122,event,Up Helly Aa,Norway,solo,food,budget,1950.23,6,0.93,0.29,0.75,0.49,0.81,1,0.5
9026,destination,Paracas,Peru,couple,food,luxury,5773.58,7,0.78,0.43,0.98,0.33,0.41,0,0.44
9468,trek,Kilimanjaro Machame Route,Tanzania,couple,adventure,budget,4976.47,11,0.49,0.1,0.6,0.89,0.48,0,0.51
9803,event,Loi Krathong,Thailand,solo,adventure,luxury,2020.03,1,0.28,0.1,0.98,0.31,0.8,0,0.38
9887,event,Loi Krathong,Thailand,solo,spiritual,budget,5167.09,1,0.73,0.1,0.9,0.72,0.45,0,0.47
9771,destination,Mendoza,Argentina,family,culture,offbeat,6565.51,10,0.76,0.93,0.76,0.23,0.33,1,0.55
